teff,logg,feh,alpha,model,path
6000.0,4.0,0.0,0.0,"BT-Settl
",/home/mariana/Auto-Interp-Spectra/database/bt-settl/lte060-4.0-0.0a+0.0.BT-NextGen.7.dat.txt
6000.0,4.0,-0.5,0.0,"BT-Settl
",/home/mariana/Auto-Interp-Spectra/database/bt-settl/lte060-4.0-0.5a+0.0.BT-NextGen.7.dat.txt
6000.0,4.5,0.0,0.0,"BT-Settl
",/home/mariana/Auto-Interp-Spectra/database/bt-settl/lte060-4.5-0.0a+0.0.BT-NextGen.7.dat.txt
6000.0,4.5,-0.5,0.0,"BT-Settl
",/home/mariana/Auto-Interp-Spectra/database/bt-settl/lte060-4.5-0.5a+0.0.BT-NextGen.7.dat.txt
