teff,logg,feh,alpha,path
6000,4,0,0,/database/lte060-4.0-0.0a+0.0.BT-NextGen.7.dat.txt
6000,4,-0.5,0,/database/lte060-4.0-0.5a+0.0.BT-NextGen.7.dat.txt
6000,4.5,0,0,/database/lte060-4.5-0.0a+0.0.BT-NextGen.7.dat.txt
6000,4.5,-0.5,0,/database/lte060-4.5-0.5a+0.0.BT-NextGen.7.dat.txt
